B,P,C,X,N,Time
5,1,1,0,1,10.186209
5,1,5,0,1,10.194840
5,5,1,0,1,2.091775
5,5,5,0,1,2.084984
10,1,1,0,1,10.214888
10,1,5,0,1,10.180783
10,1,10,0,1,10.186975
10,5,1,0,1,2.112784
10,5,5,0,1,2.090257
10,5,10,0,1,2.092404
10,10,1,0,1,1.073078
10,10,5,0,1,1.064341
10,10,10,0,1,1.068440
5,1,1,200,1,10.382007
5,1,5,200,1,10.388917
5,5,1,200,1,10.267839
5,5,5,200,1,10.270873
10,1,1,200,1,10.384148
10,1,5,200,1,10.386990
10,1,10,200,1,10.386312
10,5,1,200,1,10.265302
10,5,5,200,1,10.267903
10,5,10,200,1,10.296460
10,10,1,200,1,10.289761
10,10,5,200,1,10.270525
10,10,10,200,1,10.278788
5,1,1,400,1,20.265576
5,1,5,400,1,20.272046
5,5,1,400,1,20.265699
5,5,5,400,1,20.273385
10,1,1,400,1,20.267459
10,1,5,400,1,20.267816
10,1,10,400,1,20.273578
10,5,1,400,1,20.267243
10,5,5,400,1,20.267192
10,5,10,400,1,19.876779
10,10,1,400,1,20.265726
10,10,5,400,1,20.268349
10,10,10,400,1,20.277592
